FIPS,Area Name,Qualifying Name,State Postal Abbreviation,Population Density (Per Sq. Mile),% Total Population: Male,% Total Population: Female,Median Age:,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,% Households: Nonfamily Households,% Occupied Housing Units: 1-Person Household,% Occupied Housing Units: with Related Children of the Householder Under 18,% Renter-Occupied Housing Units: Householder 75 to 84 Years,% Renter-Occupied Housing Units: Householder 85 Years and Over,Average Household Size,% Population 15 Years and Over: Never Married,% Population 15 Years and Over: Now Married (Not Including Separated),% Population 15 Years and Over: Separated,% Population 15 Years and Over: Widowed,% Population 15 Years and Over: Divorced,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Diploma,% Population 25 Years and Over: Bachelor's Degree or Better,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Graduate or More (Includes Equivalency),% Population 25 Years and Over: Some College or More,% Population 25 Years and Over: Bachelor's Degree or More,% Population 25 Years and Over: Master's Degree or More,% Population 25 Years and Over: Professional School Degree or More,% Population 25 Years and Over: Doctorate Degree,"% Civilian Population 16 to 19 Years: Not High School Graduate, Not Enrolled (Dropped Out)",% Civilian Population in Labor Force 16 Years and Over: Unemployed,Median Household Income (In 2019 Inflation Adjusted Dollars),Average Household Income (In 2019 Inflation Adjusted Dollars),Median Family Income (In 2019 Inflation Adjusted Dollars),Average Family Income (In 2019 Inflation Adjusted Dollars),% Households: No Earnings,Per Capita Income (In 2019 Inflation Adjusted Dollars),Gini Index,% Housing Units: Vacant,Median Year Structure Built,Renter-Occupied Housing Units:,Median Gross Rent,Median Gross Rent as a Percentage of Household  Income in the Past 12 Months (Dollars),Average Gross Rent for Renter-Occupied Housing Units,Median Gross Rent,% Owner-Occupied Housing Units: Homeowners Who are Paying at Least 30% of Income for Ownership Costs,% Owner-Occupied Housing Units: Homeowners Who are Paying at Least 50% of Income for Ownership Costs,Median Selected Monthly Owner Costs as a Percentage of Household Income:,% Families: Income Below Poverty Level,% Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,% Population Age 18 to 64 for Whom Poverty Status  Is Determined: Living in Poverty,% Population Age 65 and Over for Whom Poverty  Status Is Determined: Living in Poverty,Average Commute to Work (In Min),% Occupied Housing Units: Complete Plumbing Facilities,% Occupied Housing Units: Complete Kitchen Facilities,% Occupied Housing Units: No Telephone Service Available
1001,Autauga County,"Autauga County, Alabama",al,93.16273,48.63,51.37,38.2,76.79,19.03,0.25,1.03,0.05,0.68,2.16,29.54,25.58,34.05,3.03,3.64,2.56,27.62,53.96,1.36,5.83,11.23,11.48,61.95,26.57,11.48,88.52,54.93,26.57,10.46,2.77,1.43,3.42,3.68,58731,75326.44763,71103,87094.03025,26.13,29819,0.4542,8.92,1991,5715,986,29.39999962,980.4199475,986,19.54,8.3,16.29999924,12.33,23.22,13.62,8.73,24,99.52,98.78,1.72
1003,Baldwin County,"Baldwin County, Alabama",al,133.8703,48.63,51.37,43,86.21,9.26,0.77,0.93,0,1.14,1.69,33.93,29.6,27.25,5.36,2.96,2.59,24.71,52.49,2.06,7.26,13.48,9.19,58.94,31.86,9.19,90.81,63.15,31.86,10.82,3,1.07,4.76,4.26,58320,80985.78648,75850,97990.74943,28.55,32626,0.4587,29.11,1995,20034,1020,28.70000076,941.2947988,1020,18.95,8.06,15.89999962,6.91,13.36,10.24,7.39,27,99.69,99.43,3.19
1005,Barbour County,"Barbour County, Alabama",al,28.65624,52.92,47.08,40.4,46.8,47.58,0.32,0.53,0,3.57,1.2,33.79,31.92,30.83,6.98,1.67,2.41,35.47,41.36,3.17,7.99,12,26.79,61.63,11.58,26.79,73.21,37.61,11.58,3.97,1.21,0.5,2.41,9.17,32525,47067.86517,41704,56373.58979,35.55,18473,0.4883,22.21,1979,3654,576,29.60000038,546.1685824,576,18.36,8.22,15.30000019,23.66,50.14,27.56,16.76,22,99.86,99.52,3.34
1007,Bibb County,"Bibb County, Alabama",al,36.13558,54.02,45.98,40.9,76.79,22.29,0.13,0.12,0,0.04,0.63,30.5,28.49,30.74,2.16,1.64,2.99,33.73,39.97,2.74,8.62,14.94,20.94,68.68,10.38,20.94,79.06,34.18,10.38,3.93,0.91,0.41,2.25,7.28,47542,60181.51212,57891,69315.78618,33.62,20778,0.4487,24.98,1985,1763,734,29.39999962,560.2949518,734,14.7,3.71,13.89999962,15.03,29.46,17.06,6.89,30,99.58,98.11,2.8
1009,Blount County,"Blount County, Alabama",al,89.45139,49.4,50.6,40.7,95.46,1.61,0.08,0.37,0.04,0.85,1.59,28.65,26.21,30.64,5.47,1.42,2.74,21.21,57.03,1.84,7.92,12,19.51,67.4,13.09,19.51,80.49,47.07,13.09,4.47,0.97,0.3,5.99,3.36,49358,65639.41574,62295,76546.68549,32.82,24747,0.457,14.29,1988,4424,667,27.29999924,555.8092224,667,14.86,5.1,14.69999981,9.55,18.36,12.45,10.94,34,99.52,98.96,3.45
1011,Bullock County,"Bullock County, Alabama",al,16.4544,54.36,45.64,40.2,21.9,74.8,0,0.49,0,2.05,0.76,28.88,25.82,34.9,5.01,0.79,2.79,46.41,35.53,3.3,6.66,8.1,25.32,62.62,12.05,25.32,74.68,34.4,12.05,4.63,1.65,0.68,8.44,3.87,37785,48571.05936,43333,54750.75879,31.84,20877,0.4731,22.73,1985,1017,654,32.20000076,530.8751229,654,20.45,8.47,16.60000038,25.68,53.59,23.92,15.93,27,99.06,100,4.46
1013,Butler County,"Butler County, Alabama",al,25.52396,45.8,54.2,40.8,51.85,45.4,0.06,0.35,0,0.21,2.14,33.43,30.71,25.75,5.01,0.51,3,36.3,41.76,3.02,7.92,11,14.95,68.91,16.14,14.95,85.05,39.87,16.14,6.42,1.17,0.29,18.17,6.8,40688,55971.01137,50503,65296.81367,30.93,21038,0.4619,35.51,1979,1955,620,27.10000038,496.7263427,620,19.51,7.36,15.19999981,15.59,34.48,21.21,12.27,24,99.78,98.85,2.14
1015,Calhoun County,"Calhoun County, Alabama",al,189.1793,48.11,51.89,39.6,73.67,20.79,0.33,0.88,0.01,1.92,2.39,32.83,28.07,30.43,3.36,1.5,2.5,28.92,47.85,2.78,7.52,12.93,15.57,65.95,18.48,15.57,84.43,51.64,18.48,7.98,2.31,1.06,3.32,8.08,47255,63416.8591,59147,75583.51802,29.12,25345,0.4633,16.83,1978,13351,716,27.60000038,669.8749157,716,17.34,5.85,14.80000019,13.26,25.63,17.42,9.74,25,99.73,99.32,1.56
1017,Chambers County,"Chambers County, Alabama",al,56.42341,47.8,52.2,42,57.7,39.56,0.33,1.12,0,0.27,1.02,36.4,30.53,24.99,2.15,1.74,2.46,31.63,43.82,2.87,8.94,12.74,18.38,68.33,13.3,18.38,81.62,44.89,13.3,3.8,1.13,0.25,7.52,3.94,42289,53505.02677,53567,61886.1686,32.35,22729,0.423,20.84,1976,4376,749,22.70000076,642.4360146,749,19.41,9.38,16.20000076,12.94,25.48,16.23,11.42,24,99.11,99.23,2.38
1019,Cherokee County,"Cherokee County, Alabama",al,46.79644,49.33,50.67,46.5,92.85,4.6,1.08,0.25,0,0.35,0.87,31.95,28.43,26.37,7.97,1.03,2.39,19.99,58.47,1.7,7.7,12.13,18.43,68.82,12.75,18.43,81.57,41.32,12.75,6.11,2.52,0.57,6.34,4.43,41919,57616.66201,55542,66437.64883,39,24301,0.4515,35.24,1988,2433,620,24,501.8084669,620,16.14,6.94,15.19999981,11.82,15.35,14.56,10.95,29,99.52,99.49,2.9
